"species_group","kingdom","habitat_id","habitat","CF_occ_avg_reg","CF_occ_avg_reg_rsd","CF_occ_avg_glo","CF_occ_avg_glo_rsd","CF_occ_mar_reg","CF_occ_mar_reg_rsd","CF_occ_mar_glo","CF_occ_mar_glo_rsd","CF_tra_avg_reg","CF_tra_avg_reg_rsd","CF_tra_avg_glo","CF_tra_avg_glo_rsd","CF_tra_mar_reg","CF_tra_mar_reg_rsd","CF_tra_mar_glo","CF_tra_mar_glo_rsd","quality","weighting"
"Amphibians","Animalia",2.5,"Cropland_LightIntense",3.69701797374889e-12,1.65663628028883,3.10027411303675e-15,4.15619271814449,1.26495608531998e-11,2.85353079229506,6.98911563557423e-15,3.74726365947671,1.4450336461001e-09,1.56016765021733,8.06985483215869e-13,3.33667392447221,5.03398877469477e-09,2.82672746198504,1.84436085207303e-12,2.97983442999411,"original","land_use"
"Amphibians","Animalia",4,"Cropland_Minimal",2.18905416582378e-12,3.81290099455489,2.89405553564342e-15,5.84862201624446,6.09593041905071e-12,4.63561077447097,5.8372538555313e-15,5.34801421283885,4.64508328819101e-10,3.61375102628694,4.40231862639444e-13,6.96137343864371,1.11349474144365e-09,3.57292679377251,8.94435910645617e-13,6.29969636660983,"original","land_use"
"Amphibians","Animalia",5,"Managed_forest_Intense",1.86519506289091e-12,1.86724322734675,2.12316853707283e-15,2.7520824066926,3.14691497837872e-12,1.9327086851634,3.60089728868394e-15,2.87476350477271,5.99289926548534e-10,1.95463048687324,3.91665547729358e-13,2.93005584673199,9.46340933765416e-10,1.99116208696579,6.59415179443479e-13,3.01327134295265,"original","land_use"
"Amphibians","Animalia",6,"Managed_forest_Light",6.75197391389476e-13,2.87520718667783,9.22893031628968e-16,3.99355313461573,1.06471767459549e-12,2.62118338146005,1.53101363921219e-15,4.11712655921622,3.43224712646033e-10,3.04100704504604,2.40459090324119e-13,2.81911028304665,5.06954390186577e-10,2.67955214245692,3.81580687585067e-13,2.96456930681806,"original","land_use"
"Amphibians","Animalia",7,"Managed_forest_Minimal",1.62917439984313e-13,3.69404158624078,2.53469053362399e-16,3.99714228382418,2.45272492302336e-13,3.28625740160369,3.91625467814431e-16,4.11190516753412,8.66247731044113e-11,3.04965089647891,6.89956428497566e-14,2.69943634151675,1.24976641844932e-10,2.56600801932002,1.0501780502721e-13,2.76104850237353,"original","land_use"
"Amphibians","Animalia",8.5,"Pasture_LightIntense",3.08155018472115e-12,2.41257988975545,3.72188402279377e-15,3.99037683852294,1.07964307791859e-11,3.0378546247911,9.25309257927842e-15,3.66079032286208,1.00364448542117e-09,4.52768659608315,8.66338017800924e-13,3.47378190794814,3.71789404647501e-09,3.69569536253504,2.13061297363192e-12,3.2200618056222,"original","land_use"
"Amphibians","Animalia",10,"Pasture_Minimal",5.02609199474175e-11,2.4493401992972,1.75815758386928e-15,6.11921873977843,5.87998218594700e-11,2.24137104873414,4.09995672193014e-15,5.39733780898935,3.57199749639622e-08,2.53285321415141,4.63320659022151e-13,5.15024665156188,4.00482974628404e-08,2.41661395588907,1.09762608624588e-12,4.8589174096674,"original","land_use"
"Amphibians","Animalia",11.5,"Plantation_LightIntense",8.14902577036416e-12,2.45231485375179,2.22810476514183e-14,2.3380547867619,1.3758433009385e-11,1.92194080214275,3.67846727852368e-14,2.15017100577369,3.86062922293325e-09,1.88626217589076,7.85479153214078e-12,1.81619341863452,6.57197092199525e-09,1.7293130502943,1.31523375919270e-11,1.70991548746199,"original","land_use"
"Amphibians","Animalia",13,"Plantation_Minimal",6.23673927642162e-12,2.43331460783292,2.43115900669172e-14,2.50615906907984,1.09639370677822e-11,1.70445191987839,4.50643552486338e-14,2.20148855288537,1.18880195460515e-09,2.33232108983053,4.82704684946735e-12,3.03043700149088,2.04290746095278e-09,1.74006393560392,8.66286920695619e-12,2.6093948781688,"original","land_use"
"Amphibians","Animalia",14,"Urban_Intense",7.51300200412011e-12,2.08891891703434,1.17965981446585e-14,3.60363186928383,1.91803627548294e-11,2.06326275177709,2.20707799549507e-14,3.23651931804093,3.07797252938286e-09,2.79270136249516,4.19616284714443e-12,2.51573030554395,7.55213822959964e-09,2.1471209531321,8.00054660104846e-12,2.24886075754668,"original","land_use"
"Amphibians","Animalia",15,"Urban_Light",6.60433718585041e-12,2.48908584220246,8.39255483345535e-15,3.07126724064366,1.7261757084765e-11,3.22130184953385,1.53216342148626e-14,2.86757031682053,3.08704072892943e-09,2.57722345070559,3.45558726808772e-12,2.00391063169959,7.72504762013007e-09,2.87226138922304,6.48307149979503e-12,1.90921718961073,"original","land_use"
"Amphibians","Animalia",16,"Urban_Minimal",5.80119918305187e-12,2.88362814668636,6.06714760048693e-15,3.89293496124618,1.27782310232403e-11,2.67049468889014,9.87603987007007e-15,3.25514548443793,2.65031768397616e-09,1.69903488072455,2.32694216839596e-12,2.38069227758172,5.86910369874474e-09,2.12431637873537,4.01148883946716e-12,2.21590126970733,"original","land_use"
"Birds","Animalia",2.5,"Cropland_LightIntense",2.1818671271491e-12,2.08751888491856,2.20452005785507e-15,3.46895689993602,3.87419435991156e-10,27.8104085078497,2.0678832699292e-14,16.5544886357166,8.44378337844229e-10,1.80873835947076,5.89570362158763e-13,2.41331460442633,1.51018659117716e-07,27.805105596389,7.39162543433205e-12,18.0425962054501,"original","land_use"
"Birds","Animalia",4,"Cropland_Minimal",1.42164286087224e-12,5.09446994540164,2.44351048770715e-15,4.69938625938263,4.47048525227029e-12,15.5182282158911,4.93489243850024e-15,3.64052658103296,3.28352136112235e-10,10.0059900241555,3.57387363707664e-13,6.15405130109902,9.99864415359013e-10,26.6649639547768,7.49123691645268e-13,5.18676701793482,"original","land_use"
"Birds","Animalia",5,"Managed_forest_Intense",9.00764164399562e-13,2.33370373198676,1.45787946519214e-15,2.03494353443361,1.45871600027351e-12,2.57263589060648,2.33673832112811e-15,1.96262632137762,2.9097768300228e-10,2.3036476853451,2.67774482054333e-13,2.17910590621008,4.38950732802734e-10,2.51465485047767,4.19980026723543e-13,2.17154206928952,"original","land_use"
"Birds","Animalia",6,"Managed_forest_Light",3.11676027724092e-13,7.05887895078631,3.85089294035497e-16,11.4376098884286,4.70769238421004e-13,6.17353241913109,5.95403630999469e-16,11.8650246396311,1.51502699708857e-10,12.5459974849202,9.94180251192577e-14,6.93288359300776,2.15719059844367e-10,11.2371939769418,1.45090491056036e-13,7.60080944701812,"original","land_use"
"Birds","Animalia",7,"Managed_forest_Minimal",7.2025149928753e-14,9.10170622239201,9.87686924226175e-17,16.4850876839549,1.02291962161973e-13,7.98874034376615,1.44755281811958e-16,17.4454838804375,3.36125686950936e-11,13.4902356148597,2.44179056536722e-14,10.7098107240195,4.62024946686512e-11,12.3261047534602,3.48950006593237e-14,11.3851683052052,"original","land_use"
"Birds","Animalia",8.5,"Pasture_LightIntense",1.88011129159191e-12,1.84890587744955,2.28048047160698e-15,1.69745164304777,6.7529792721e-11,53.7233913802248,9.198709438206e-15,15.0072256971583,6.09739803706902e-10,2.3193050148204,4.90547578791437e-13,1.54515599245789,2.6040210147698e-08,54.298028592283,2.65187751712936e-12,20.2519452831554,"original","land_use"
"Birds","Animalia",10,"Pasture_Minimal",2.19828825231407e-12,4.24884821112386,1.66095129222866e-15,2.91413695430196,3.35465150433198e-11,82.8725477363702,6.83532389951189e-15,14.3145961547933,9.80751179503604e-10,6.68393432140234,4.32710297102689e-13,2.67115926290815,1.32389566380577e-08,81.3023196028547,2.21790604002843e-12,17.0009034503259,"original","land_use"
"Birds","Animalia",11.5,"Plantation_LightIntense",3.32426270928697e-12,3.32225953382753,4.77404618644805e-15,3.62818550625273,4.89027785303561e-12,2.95563537654363,7.059984524245e-15,3.17121238868263,1.50093338246875e-09,2.35799854573319,1.34002536780588e-12,2.83950553666085,2.15824474790588e-09,2.23861303101826,1.96226581668297e-12,2.5127073461283,"original","land_use"
"Birds","Animalia",13,"Plantation_Minimal",2.82573602446903e-12,2.86454838445875,7.72741172207432e-15,3.66495070716778,4.35524524149033e-12,2.26950260188784,1.17187088077751e-14,2.92137271128735,5.21996156898535e-10,2.58301745216683,1.42124859876792e-12,3.21217025752836,7.913388568712e-10,2.13441958857505,2.11742457139714e-12,2.64071616619604,"original","land_use"
"Birds","Animalia",14,"Urban_Intense",4.19830159430756e-12,2.04244642922686,4.31081924783031e-15,2.16253152930902,2.02605093893025e-10,39.2841844795229,2.05330034965926e-14,25.2701896666201,1.68304183293687e-09,2.19481972867887,1.34630519426405e-12,1.6062049128896,7.88862285686814e-08,39.3217491718989,7.25172566286921e-12,27.8751682059211,"original","land_use"
"Birds","Animalia",15,"Urban_Light",3.67214454812332e-12,2.65267392429548,3.44525641748856e-15,2.97786788729649,7.03943224913051e-10,23.8380870854492,3.01745764641314e-14,17.6885521299296,1.64191571630815e-09,1.78503966219683,1.17130432839465e-12,1.70064862901712,2.7488872268205e-07,23.7912368378926,1.15301486027929e-11,18.0352761521059,"original","land_use"
"Birds","Animalia",16,"Urban_Minimal",3.12468101835693e-12,3.40172989389663,3.15720259591658e-15,5.53291561384797,1.90593074966961e-10,36.0113281583399,1.26121511089263e-14,20.1042417769792,1.41276341203046e-09,1.73413222748255,9.72559090380218e-13,2.97269920450548,7.43282568741005e-08,35.7500357390289,4.59429491552829e-12,21.2952705938013,"original","land_use"
"Mammals","Animalia",2.5,"Cropland_LightIntense",2.80128978660738e-12,1.75767197272449,2.95573717497894e-15,1.92571419239529,6.00285171676543e-11,21.0444846817045,1.13207131242557e-14,2.63984593224244,1.17602888031406e-09,1.58149393620471,9.42712959474555e-13,1.40687719481461,2.48773402193672e-08,21.0306269665339,3.78181443834301e-12,2.79344349717918,"original","land_use"
"Mammals","Animalia",4,"Cropland_Minimal",1.83625102807006e-12,4.29259568375568,3.90918555164899e-15,4.17879655363851,6.1479384420607e-12,4.76130542070526,8.59412784415289e-15,3.36282872911263,4.2712832492379e-10,4.13262471213259,6.29446834166051e-13,4.99989230809196,1.31752449284205e-09,3.86801793775756,1.40973215983051e-12,3.98921418835495,"original","land_use"
"Mammals","Animalia",5,"Managed_forest_Intense",1.08477206670513e-12,1.82663311738978,1.78985391456522e-15,1.21929489046794,1.92355509315627e-12,2.0191419946751,3.43320011631978e-15,2.47182539314538,3.88081236974068e-10,2.36456339091233,3.56525036274963e-13,1.34885023370775,6.21623688963159e-10,2.30693399197929,6.63763524148855e-13,2.46837608566084,"original","land_use"
"Mammals","Animalia",6,"Managed_forest_Light",4.01623111280894e-13,5.68615204306326,5.19514722868321e-16,10.375184365527,6.44447749650626e-13,4.76123921960208,8.74629265895154e-16,9.85206895236945,2.18948775085688e-10,9.33101736808814,1.57406785969393e-13,5.70580358254858,3.24706654957351e-10,8.0463479803229,2.45190032228214e-13,5.84924711688003,"original","land_use"
"Mammals","Animalia",7,"Managed_forest_Minimal",9.56822725413425e-14,8.40809416443329,1.36784232123053e-16,14.9402110750796,1.42315155149769e-13,6.90506568883822,2.06164800484827e-16,15.0081400085981,5.01247405341241e-11,11.2422364908868,4.1262123412138e-14,9.03929212857361,7.15470952581712e-11,9.49511790975986,6.09081850673047e-14,8.83420536467531,"original","land_use"
"Mammals","Animalia",8.5,"Pasture_LightIntense",2.22315016115341e-12,1.92781149348947,3.39242490724811e-15,2.11414975802991,1.99908808850423e-11,28.8928807910106,1.17554588233651e-14,2.94786083100606,7.64608592053577e-10,2.03746700505169,8.13996143141379e-13,1.78936851108974,7.83406094841205e-09,30.5391016576685,2.95980168883558e-12,2.7413235496262,"original","land_use"
"Mammals","Animalia",10,"Pasture_Minimal",2.65171538661066e-12,4.34731840243796,1.94664012038222e-15,1.94813454819128,1.08560382795223e-11,29.7604564951067,5.56063253724883e-15,2.03329076394746,1.23174210477164e-09,6.56586695872508,5.82671974042725e-13,2.15473245758371,4.71803416834132e-09,28.2536781094864,1.8102227102505e-12,2.13711116501904,"original","land_use"
"Mammals","Animalia",11.5,"Plantation_LightIntense",4.41612290774141e-12,3.05975207022939,9.24018641632436e-15,1.72103190360897,7.15930485008243e-12,2.45714242886707,1.58706427261029e-14,1.72918503412753,2.16230631875814e-09,2.20733194974456,2.90224367913019e-12,1.4878496799566,3.38316025585067e-09,1.99361990473231,4.71870123476389e-12,1.51766024867313,"original","land_use"
"Mammals","Animalia",13,"Plantation_Minimal",3.54313335145447e-12,2.61608499419624,1.43710140183633e-14,1.14970175580301,6.48415632526509e-12,1.74182564630438,2.6854471612709e-14,0.854638332950684,6.8627851640931e-10,2.34912762000975,2.69641122748612e-12,1.11953835842437,1.22752128229648e-09,1.63532764757964,4.95864431372997e-12,0.851732225020735,"original","land_use"
"Mammals","Animalia",14,"Urban_Intense",4.9169806075523e-12,1.82646084732085,5.75503902262365e-15,3.19867747285346,4.24910109335065e-11,25.0551543754061,1.4699891681984e-14,3.50970892377908,2.17002976753355e-09,2.14843674473414,2.00016039155031e-12,2.4781434356367,1.75775012871897e-08,25.082240327082,5.11828797259574e-12,3.57132906326295,"original","land_use"
"Mammals","Animalia",15,"Urban_Light",4.2421490147188e-12,2.13174365520484,4.24715387208224e-15,2.26097255221744,7.85631008362106e-11,21.0220550522195,1.01976913362639e-14,2.7839957106181,2.11215252656649e-09,1.56273528470342,1.7021323566191e-12,1.47543589092013,3.3374415123347e-08,20.4936402003664,4.13484830203153e-12,2.47621646042306,"original","land_use"
"Mammals","Animalia",16,"Urban_Minimal",3.65523916537856e-12,3.02580103861371,4.57825159041391e-15,6.486452906058,4.32979177496112e-11,26.5255114323285,8.45981316379769e-15,4.81875370584546,1.8100277143893e-09,1.5673497887311,1.64052291694218e-12,3.06639827422955,1.85859662170169e-08,25.4214882512215,3.28638324200013e-12,3.06591613233463,"original","land_use"
"Reptiles","Animalia",2.5,"Cropland_LightIntense",3.92573372431352e-12,1.79469314784706,4.4803078178395e-15,2.85807648884691,1.39487864801389e-11,1.78023182605647,1.321798501822e-14,2.60822360242228,1.54376519779349e-09,1.6710644026451,1.15481204697914e-12,2.23396971238002,5.4595990415704e-09,1.69710576993984,3.54429615780198e-12,2.16204552105046,"original","land_use"
"Reptiles","Animalia",4,"Cropland_Minimal",2.56147770836115e-12,3.91731741332005,2.89267360847222e-15,4.6831684174881,7.78458536399969e-12,4.25502277475179,6.44664154085493e-15,4.36303422548242,6.01179209789957e-10,4.09394261380148,4.16934306561057e-13,6.39363905043856,1.6582866728018e-09,3.33372987381995,9.72087223614679e-13,5.57016852355093,"original","land_use"
"Reptiles","Animalia",5,"Managed_forest_Intense",1.65426926434601e-12,1.98795429463829,1.95003416741969e-15,2.33369463062297,2.78927445714439e-12,2.01088845722199,3.80913587701717e-15,2.8901982109628,5.57645957550785e-10,2.0709576261282,3.69690534306713e-13,2.63529365200596,8.82940330023752e-10,2.10563697530033,7.19163397444762e-13,3.04123513180706,"original","land_use"
"Reptiles","Animalia",6,"Managed_forest_Light",6.16705760921691e-13,2.55098760507147,6.73188365284538e-16,5.03131707165087,9.78482019575669e-13,2.47799607564409,1.16665776633328e-15,4.92685327037499,3.102213981323e-10,1.85529224361038,1.63262515645541e-13,3.70425049125277,4.64792989138565e-10,1.89433155879496,2.72559703376165e-13,3.67171491647368,"original","land_use"
"Reptiles","Animalia",7,"Managed_forest_Minimal",1.45999788206754e-13,3.99831135290895,1.69391708618698e-16,6.32086786113407,2.23512745003058e-13,3.58583019258674,2.72980233397736e-16,6.40455112821758,7.33665786483339e-11,2.08186103491034,4.42121681639615e-14,4.23677312294284,1.08622703409713e-10,1.98181152317599,7.03257665262551e-14,4.26545851911919,"original","land_use"
"Reptiles","Animalia",8.5,"Pasture_LightIntense",3.07568994662922e-12,1.85467990696578,4.38510482677897e-15,2.59294818041361,1.10600729475129e-11,2.49074169310285,1.2779860741395e-14,2.97474181869682,9.9285544382169e-10,2.77581872560114,9.87473211070906e-13,2.32927885402864,3.7372238435731e-09,2.92785416812322,2.88264894044284e-12,2.59643051029669,"original","land_use"
"Reptiles","Animalia",10,"Pasture_Minimal",2.57413911300546e-11,2.11250248891906,2.8366835882966e-15,3.9577981169364,4.24283508984411e-11,1.84348328128744,6.41465409493734e-15,5.06881358631142,1.76986261765283e-08,2.25200050780255,6.53930550885139e-13,3.06903961841761,2.72891660875918e-08,2.07393078356107,1.51393841845716e-12,3.68792223527203,"original","land_use"
"Reptiles","Animalia",11.5,"Plantation_LightIntense",7.65875537106391e-12,2.57673682176315,1.18156883200875e-14,2.61092785537049,1.29929747604742e-11,1.9865296061435,1.90826503916625e-14,2.54697790602141,3.62245267045578e-09,1.95457411284082,3.13368832360351e-12,2.43723940376346,6.20498217128283e-09,1.75346903517527,4.91757869092842e-12,2.26997133092416,"original","land_use"
"Reptiles","Animalia",13,"Plantation_Minimal",5.90658576601676e-12,2.43191110457526,1.09671032233825e-14,2.16717176642841,1.04660736306251e-11,1.67583751533986,2.22909806872163e-14,2.68329086219721,1.12520942224497e-09,2.30291299745098,2.05818159382248e-12,2.22857672315269,1.94933113035395e-09,1.6924710873308,4.05215146925991e-12,2.60326512861286,"original","land_use"
"Reptiles","Animalia",14,"Urban_Intense",7.30688558824901e-12,1.76901685434207,8.06379349191921e-15,3.04882935218389,2.05375181949593e-11,1.70412577045876,1.93729072120435e-14,2.64830370769602,3.05501492845366e-09,1.68980709809403,2.31521279442954e-12,2.76588880332216,8.18845866782505e-09,1.52661201391378,5.5953325832938e-12,2.28142549424092,"original","land_use"
"Reptiles","Animalia",15,"Urban_Light",6.75862643776338e-12,2.17682189969803,6.95517572529018e-15,4.78250982389231,1.701155764395e-11,1.80404760930429,1.47060547654488e-14,4.35352358398416,3.19516634994804e-09,1.64630482720435,2.0795531712563e-12,2.99756845461033,7.90231501894656e-09,1.48445351855042,4.48974063011907e-12,2.63670702844465,"original","land_use"
